,Username,Repo_name,Stars,Repo_url
0,atom,atom,56.3k,https://github.com//atom/atom
1,themerdev,themer,4.5k,https://github.com//themerdev/themer
2,nteract,hydrogen,3.8k,https://github.com//nteract/hydrogen
3,shd101wyy,markdown-preview-enhanced,3.4k,https://github.com//shd101wyy/markdown-preview-enhanced
4,miniflux,v2,3.2k,https://github.com//miniflux/v2
5,atom,teletype,2.3k,https://github.com//atom/teletype
6,mehcode,awesome-atom,1.9k,https://github.com//mehcode/awesome-atom
7,mmcdole,gofeed,1.7k,https://github.com//mmcdole/gofeed
8,joefitzgerald,go-plus,1.5k,https://github.com//joefitzgerald/go-plus
9,Glavin001,atom-beautify,1.5k,https://github.com//Glavin001/atom-beautify
10,simplepie,simplepie,1.4k,https://github.com//simplepie/simplepie
11,t9md,atom-vim-mode-plus,1.4k,https://github.com//t9md/atom-vim-mode-plus
12,ocaml,merlin,1.4k,https://github.com//ocaml/merlin
13,kurtmckee,feedparser,1.3k,https://github.com//kurtmckee/feedparser
14,MagicStack,MagicPython,1.3k,https://github.com//MagicStack/MagicPython
15,atom,apm,1.2k,https://github.com//atom/apm
16,file-icons,atom,1.2k,https://github.com//file-icons/atom
17,kettanaito,atomic-layout,1k,https://github.com//kettanaito/atomic-layout
18,atom,github,977,https://github.com//atom/github
19,nmdias,FeedKit,937,https://github.com//nmdias/FeedKit
20,nathanbuchar,atom-one-dark-terminal,930,https://github.com//nathanbuchar/atom-one-dark-terminal
21,danhper,atomic-chrome,929,https://github.com//danhper/atomic-chrome
22,jesseweed,seti-ui,883,https://github.com//jesseweed/seti-ui
23,fwcd,kotlin-language-server,809,https://github.com//fwcd/kotlin-language-server
24,prettier,prettier-atom,764,https://github.com//prettier/prettier-atom
25,raphamorim,lucario,731,https://github.com//raphamorim/lucario
26,atom-community,atom-script,727,https://github.com//atom-community/atom-script
27,jasonmunro,cypht,679,https://github.com//jasonmunro/cypht
28,jekyll,jekyll-feed,667,https://github.com//jekyll/jekyll-feed
29,lwindolf,liferea,664,https://github.com//lwindolf/liferea
