,Username,Repo_name,Stars,Repo_url
0,jwasham,coding-interview-university,197k,https://github.com//jwasham/coding-interview-university
1,CyC2018,CS-Notes,142k,https://github.com//CyC2018/CS-Notes
2,trekhleb,javascript-algorithms,127k,https://github.com//trekhleb/javascript-algorithms
3,TheAlgorithms,Python,124k,https://github.com//TheAlgorithms/Python
4,yangshun,tech-interview-handbook,61k,https://github.com//yangshun/tech-interview-handbook
5,kdn251,interviews,54.6k,https://github.com//kdn251/interviews
6,azl397985856,leetcode,45.2k,https://github.com//azl397985856/leetcode
7,TheAlgorithms,Java,42.4k,https://github.com//TheAlgorithms/Java
8,algorithm-visualizer,algorithm-visualizer,35.9k,https://github.com//algorithm-visualizer/algorithm-visualizer
9,crossoverJie,JCSprout,26.5k,https://github.com//crossoverJie/JCSprout
10,donnemartin,interactive-coding-challenges,24.1k,https://github.com//donnemartin/interactive-coding-challenges
11,halfrost,LeetCode-Go,21.8k,https://github.com//halfrost/LeetCode-Go
12,huihut,interview,21.3k,https://github.com//huihut/interview
13,keon,algorithms,20k,https://github.com//keon/algorithms
14,trekhleb,homemade-machine-learning,18.5k,https://github.com//trekhleb/homemade-machine-learning
15,youngyangyang04,leetcode-master,18.4k,https://github.com//youngyangyang04/leetcode-master
16,mxgmn,WaveFunctionCollapse,17k,https://github.com//mxgmn/WaveFunctionCollapse
17,TheAlgorithms,C-Plus-Plus,16.8k,https://github.com//TheAlgorithms/C-Plus-Plus
18,TheAlgorithms,Javascript,15.9k,https://github.com//TheAlgorithms/Javascript
19,AtsushiSakai,PythonRobotics,13.7k,https://github.com//AtsushiSakai/PythonRobotics
20,OpenGenus,cosmos,12.9k,https://github.com//OpenGenus/cosmos
21,greyireland,algorithm-pattern,12.9k,https://github.com//greyireland/algorithm-pattern
22,williamfiset,Algorithms,11.4k,https://github.com//williamfiset/Algorithms
23,apachecn,apachecn-algo-zh,10.5k,https://github.com//apachecn/apachecn-algo-zh
24,halfrost,Halfrost-Field,10.2k,https://github.com//halfrost/Halfrost-Field
25,lnishan,awesome-competitive-programming,9k,https://github.com//lnishan/awesome-competitive-programming
26,Blankj,awesome-java-leetcode,8.3k,https://github.com//Blankj/awesome-java-leetcode
27,jeffgerickson,algorithms,7.4k,https://github.com//jeffgerickson/algorithms
28,LeetCode-OpenSource,vscode-leetcode,6.9k,https://github.com//LeetCode-OpenSource/vscode-leetcode
29,mgechev,javascript-algorithms,6.9k,https://github.com//mgechev/javascript-algorithms
